		12.5fmol_C4	12.5fmol_C5	12.5fmol_Ro	12.5fmol_C8	12.5fmol_C9	12.5fmol_C10	25fmol_semtumorS49	25fmol_semtumorS55	25fmol_semtumorS57	25fmol_semtumorS61	25fmol_semtumorS64	25fmol_semtumorS68	25fmol_semtumorT16	50fmol_T1T2S78	50fmol_T1T2S79	50fmol_T1T2T12	50fmol_T1T2T20	50fmol_T1T2T22	50fmol_T1T2T23	100fmol_T3T4S81	100fmol_T3T4S82	100fmol_T3T4T13	100fmol_T3T4T2	100fmol_T3T4T5	100fmol_T3T4T65	100fmol_T3T4T9
P35579_MYH9	P35579_MYH9	23.95447	22.07718	26.18262	22.17968	22.28678	23.92316	21.41952	20.7285	21.93808	20.7075	23.04988	21.87433	23.05864	21.8271	23.84871	0	21.88811	24.14795	23.57542	24.67611	23.82736	26.20674	22.90307	27.38764	24.59224	24.96794
P02675_FGB	P02675_FGB	24.80582	24.71926	25.70427	25.86898	24.77158	25.12183	26.42193	27.88005	25.94159	27.31173	25.55078	25.47664	27.242	25.0299	22.91028	26.43554	25.0264	26.81946	25.93591	25.59503	28.14996	28.85046	26.11809	28.45658	27.82881	26.54837
Q8TD19_NEK9	Q8TD19_NEK9	21.27304	22.81427	22.57052	21.10521	23.8319	22.17139	0	23.92561	24.57554	23.82124	21.63671	23.9526	0	22.86257	23.47469	25.68699	27.78257	25.10538	24.90003	27.33637	25.35599	25.95462	25.49613	26.50587	23.56139	23.635
P07339_CTSD	P07339_CTSD	23.45551	22.70075	23.96455	22.50031	23.34976	23.32031	22.68716	22.3218	22.25773	22.50031	21.43527	24.03179	20.62248	21.83846	23.02433	21.54345	21.80215	22.46978	21.69485	22.16922	22.19132	21.16411	21.57579	20.65997	22.3943	21.22723
CON__P00761_	CON__P00761_	30.53742	31.96575	30.99301	31.30187	31.34752	30.37026	30.52878	30.59201	29.9194	31.12872	30.60594	28.33981	30.44243	32.15488	32.18881	32.51883	31.86437	31.3714	31.36781	32.03325	31.34562	28.94137	31.8178	28.7855	29.51124	29.34047
P63313_TMSB10	P63313_TMSB10	23.33484	0	23.34313	24.23133	23.46451	23.76213	24.72515	24.51184	23.93688	24.67912	25.24118	25.37786	24.79069	23.30814	24.74212	0	23.14263	21.78001	23.27753	0	23.67605	23.07708	0	22.53941	24.84192	0
A0A087WVW2_IGHG3	A0A087WVW2_IGHG3	22.89623	22.92745	23.6371	23.28814	23.83779	24.17995	23.78107	24.65261	25.78249	26.38535	24.16231	25.09079	24.47364	23.40354	23.02063	24.39624	23.45337	23.59184	24.47599	23.02135	25.6502	25.77092	24.18843	26.93719	26.95903	24.46588
P08238_HSP90AB1	P08238_HSP90AB1	22.43357	0	23.55836	20.78181	0	21.7984	22.28054	21.95539	21.31313	0	20.96846	21.79471	21.47363	0	22.08615	21.5727	22.85384	22.79761	0	22.96967	23.66166	22.84176	22.21975	23.23317	23.07503	23.64438
B7Z6Z4_MYL6	B7Z6Z4_MYL6	24.86962	22.33325	25.99512	24.4891	23.92234	24.81137	23.62745	23.94387	21.74604	20.77475	23.73995	22.96763	23.18615	22.21021	22.19337	23.38337	22.32089	23.72338	0	22.59933	22.71547	25.11652	24.20411	27.06784	24.88199	26.16019
Q02487_DSC2	Q02487_DSC2	24.33776	22.84608	22.73175	23.70187	23.82172	23.08941	21.99386	21.66865	24.63445	23.61684	23.84575	24.80995	22.16116	22.37703	23.99343	21.29777	24.34618	22.87823	23.01531	22.18347	21.62689	21.33156	22.41101	0	20.8012	20.82322
Q02413_DSG1	Q02413_DSG1	25.43183	23.9715	23.35192	23.96957	24.69816	23.34679	21.87766	22.67008	23.32594	25.13903	24.43161	25.21156	22.74905	25.0604	24.04951	0	23.84719	22.67893	22.69543	22.67704	23.07205	21.328	22.48802	21.01937	21.03322	21.29995
P06870_KLK1	P06870_KLK1	28.13286	29.17477	27.83056	27.40349	28.42738	27.33543	26.10219	25.39833	27.64258	27.79934	28.2311	28.33172	25.94195	29.57642	29.06376	27.32045	27.66323	28.14263	26.13342	27.7147	27.06332	25.11553	24.31472	21.41885	25.73234	25.65081
P21333_FLNA	P21333_FLNA	23.63755	0	21.86869	22.66349	0	24.13297	22.54411	23.85129	0	0	22.35925	21.95911	0	0	20.97113	0	22.61063	22.15949	0	23.63201	22.30349	24.5786	24.44676	25.00958	22.59268	24.29831
P07900-2_HSP90AA1	P07900-2_HSP90AA1	22.92796	21.97736	23.5715	21.13477	20.84483	22.83018	22.4467	22.36156	22.01611	0	22.05547	22.62765	22.32457	0	21.74098	22.03446	23.0771	22.57626	0	22.61984	22.99414	24.36379	22.95355	23.65665	22.87333	23.47581
P01037_CST1	P01037_CST1	30.84595	31.00337	29.40848	29.62342	31.06715	28.23284	25.70662	0	27.16192	30.12583	30.69304	27.05134	27.73124	30.30138	28.86623	28.69594	29.83251	28.17083	27.36127	29.45018	28.7415	22.40328	27.97656	24.35897	0	0
P22079_LPO	P22079_LPO	27.81562	28.22972	28.44656	26.76534	27.66214	26.42894	27.54907	26.86726	27.68184	27.73085	27.73538	28.39354	26.76825	27.54937	27.86402	25.72195	26.19738	25.51581	25.29288	27.66817	26.74996	25.9406	24.08837	24.88413	26.45158	26.74175
P0C0L5_C4B	P0C0L5_C4B	23.1503	21.88584	23.78576	22.68507	22.55178	22.97666	24.04093	23.23386	24.8124	24.22501	21.78624	25.78132	24.06587	22.94592	21.77764	23.08234	23.28037	23.64988	22.72945	24.51785	22.57457	25.45798	23.67142	25.78908	25.10057	24.02454
CON__P08779_KRT16	CON__P08779_KRT16	25.4309	23.18065	25.55221	25.8776	29.22073	26.27658	23.27242	25.58758	23.05522	24.67228	25.71159	27.05672	23.79966	25.14414	25.40704	26.79154	25.22817	27.50469	0	28.26656	27.16902	27.98761	25.62675	31.90441	25.98828	30.56665
P18206_VCL	P18206_VCL	21.53521	21.48753	21.89789	21.47472	21.36528	22.15085	23.4968	21.34348	0	0	21.46901	20.58784	20.3931	0	0	0	0	19.95943	22.43331	22.98158	20.61881	21.08874	23.16063	21.3989	24.83408	22.08378
P05386_RPLP1	P05386_RPLP1	22.05159	19.08908	18.6888	20.7917	18.82994	21.09023	0	19.27073	0	0	18.0024	20.27036	18.61079	0	18.69982	0	20.93099	19.61047	0	0	19.15066	22.87339	21.49941	24.10286	20.94371	23.65589
P08311_CTSG	P08311_CTSG	24.60518	23.35367	25.95163	24.22413	23.52432	23.63445	23.30925	23.40989	24.55923	21.58348	23.63688	22.62297	21.78672	22.05679	23.60456	23.30522	24.17547	25.13915	22.55604	24.56535	24.63301	25.31962	23.31147	26.16241	23.87173	25.76134
P30740_SERPINB1	P30740_SERPINB1	25.12554	26.08956	26.29604	25.69864	25.89493	25.13309	24.95824	24.8435	24.87764	25.59858	26.56326	27.59939	26.18386	26.0571	27.01999	25.22199	25.63868	26.14367	26.84709	26.67761	24.72765	24.84254	22.55159	23.78287	24.34394	24.86594
P31025_LCN1	P31025_LCN1	27.66959	30.58289	29.43237	27.04604	30.7024	29.07849	27.06733	29.63571	30.29329	29.42492	29.20865	24.88166	28.54775	30.68479	29.78759	26.55317	26.7465	29.02195	29.76612	28.51563	26.98989	21.04634	26.2926	22.13173	26.51838	27.10049
CON__P19013_	CON__P19013_	24.38509	20.39947	26.85507	24.57998	24.32985	24.0685	22.29275	22.76871	0	0	21.21945	20.06342	0	0	0	0	25.18476	23.59889	0	0	22.99502	28.57582	24.17341	30.08309	18.41761	31.62867
Q9H0U4_RAB1B	Q9H0U4_RAB1B	22.56895	0	20.47239	21.22788	0	22.91568	21.60345	20.55946	0	19.48489	20.89667	20.29524	20.95837	0	19.55843	0	22.08861	20.44577	20.02999	21.25165	20.2247	22.87324	22.79723	24.84886	22.14299	24.07145
P12814-3_ACTN1	P12814-3_ACTN1	26.11555	24.59611	25.42579	25.84216	25.04822	26.11765	24.25148	24.96895	24.41777	24.41183	25.68215	24.6392	25.54345	23.61043	25.23162	24.9949	24.9213	25.83887	0	25.20385	25.25162	24.75486	26.90667	26.55215	26.15209	26.47011
X6R8F3_LCN2	X6R8F3_LCN2	24.67514	23.63267	25.50739	25.71432	25.08683	26.259	28.18353	27.13555	24.80612	23.7415	24.91894	24.63334	24.92805	24.82561	23.85814	25.16741	25.29179	25.85448	25.90846	26.77039	26.54626	26.82687	27.85466	26.45367	27.24771	25.53127
P13688_CEACAM1	P13688_CEACAM1	23.12198	0	22.67502	21.94178	22.29978	21.77917	22.31246	21.25384	21.05881	21.21466	21.66739	21.64201	21.11191	20.48513	20.58564	21.29972	0	0	21.25379	21.35499	20.8219	20.84973	22.40164	24.56419	21.97614	23.66166
P04438_	P04438_	21.68663	0	21.86405	0	22.68153	22.29597	23.15772	22.37597	0	24.2815	0	0	0	22.93278	23.43352	24.52091	22.5595	23.4148	22.25744	0	22.45628	21.94903	21.79432	21.06933	0	21.92426
P62937_PPIA	P62937_PPIA	28.15475	27.49717	27.46591	28.55384	28.09068	28.00881	29.06	28.51807	27.27133	26.93438	28.00035	27.99361	27.77706	26.45711	27.12741	27.37989	27.1044	27.64251	25.52022	27.85763	26.82287	27.55362	26.96334	26.95626	28.12273	27.82256
P52209_PGD	P52209_PGD	25.32124	23.87821	24.79917	24.89569	24.92597	25.56075	26.14313	24.49741	24.16362	23.77676	24.67616	25.81529	24.6147	23.31962	24.78237	23.56372	23.83036	24.40886	22.46431	25.2798	24.1292	24.84843	25.10029	24.62132	24.46775	24.70129
P17174_GOT1	P17174_GOT1	22.50642	20.35509	20.29311	22.16757	21.49775	20.91707	21.98753	19.58639	19.18103	18.79791	22.05388	24.12037	19.10021	19.28114	21.95879	0	20.61836	20.41411	22.47103	0	17.63899	18.84319	19.30984	0	20.15363	19.79467
P61586_RHOA	P61586_RHOA	21.87016	0	21.21744	22.18201	21.41787	20.95915	22.9747	21.6123	20.62328	20.49833	21.58431	21.68505	21.06336	0	20.57626	0	20.53943	20.94985	20.43929	22.31197	20.51114	20.8498	21.12572	21.42767	21.33751	21.83942
P12429_ANXA3	P12429_ANXA3	21.62154	23.49911	24.79248	21.3218	22.08219	21.64887	0	21.98801	21.45719	0	21.78245	19.55174	21.69774	0	0	21.27611	22.01185	21.78867	21.36864	23.38627	21.49687	24.98098	21.16085	28.09542	22.42877	24.20404
C9JC84_FGG	C9JC84_FGG	22.4901	21.82842	23.96693	25.34908	24.67314	24.71618	24.46457	26.57888	24.22472	26.15468	24.2059	24.71167	24.95965	24.36606	23.23055	26.19334	24.09523	24.59958	22.68545	23.99774	26.18408	27.42037	24.82041	27.01169	27.42694	25.70504
P68032_ACTC1	P68032_ACTC1	22.97975	0	23.77505	22.25301	21.82287	23.15324	24.32951	24.22685	23.59047	22.29555	22.63843	22.1342	22.01311	21.49717	21.71582	22.86788	22.14034	21.87264	20.92034	22.97451	23.34327	22.23427	23.02662	23.56802	25.72198	22.64176
Q32Q12_NME1-NME2	Q32Q12_NME1-NME2	23.48333	21.44081	22.62845	23.171	22.73171	22.52655	23.57669	22.59883	22.11826	22.49512	22.89243	24.09257	24.01478	22.33265	22.95015	22.49622	22.98372	22.47894	0	23.66839	22.53281	24.01742	25.23604	23.97141	22.89197	24.79248
Q99879_HIST1H2BM	Q99879_HIST1H2BM	27.76471	25.47194	26.90552	26.61779	26.77919	27.01903	25.08383	24.76116	23.68507	21.92016	25.47528	26.00828	24.9502	22.50693	24.89837	20.65264	27.4369	26.03607	0	22.22729	24.62042	28.40296	26.5353	26.93258	25.37219	27.60682
P18510-2_IL1RN	P18510-2_IL1RN	26.70715	25.8394	23.80853	24.62338	26.42905	25.39647	25.02424	22.75385	23.93885	25.46279	24.63749	27.11128	23.60693	26.00999	26.28995	24.801	25.03649	24.80243	26.91376	25.47559	23.4197	24.63716	23.40276	23.64053	24.38291	23.03966
Q9NQ38-3_SPINK5	Q9NQ38-3_SPINK5	23.27427	23.11845	22.67663	23.56767	23.01924	22.22976	22.43708	19.87843	21.83071	21.54071	22.68069	22.73614	21.7054	22.56076	22.49695	0	24.30522	20.82011	23.13807	24.01308	20.30251	21.19111	0	0	21.19634	0
