		MS_MS_Count_05fmolExp1	MS_MS_Count_05fmolExp2	MS_MS_Count_10fmolExp1	MS_MS_Count_10fmolExp2	MS_MS_Count_1fmolExp1	MS_MS_Count_1fmolExp2	MS_MS_Count_20fmolExp1	MS_MS_Count_20fmolExp2	MS_MS_Count_50fmolExp1	MS_MS_Count_50fmolExp2	MS_MS_Count_5fmolExp1	MS_MS_Count_5fmolExp2
31	A6NMH8__CD81	1	1	0	1	0	1	1	2	1	2	0	0
32	A6NMQ1__POLA1	0	0	0	1	0	1	0	1	0	0	0	0
33	Q5T5H1__ENSA_ARPP19	0	0	0	0	0	1	0	0	0	0	0	0
34	P08133__ANXA6	0	1	0	2	1	0	1	0	2	2	1	0
35	Q08257__CRYZ	0	0	0	0	0	1	2	0	0	0	2	1
36	B4DZF8__PPP2R4_DKFZp781M17165	0	0	0	0	0	0	1	1	1	0	0	1
37	A7MAP1__CORO1C	1	1	1	2	1	0	1	2	1	1	2	1
38	A7YIJ8__RDX	0	1	1	1	0	1	0	0	0	1	0	0
39	J3QRU1__YES1_FYN_SRC_HCK_LYN	0	0	0	0	1	0	1	0	0	0	1	1
40	Q9Y4J8_3__DTNA	0	1	0	0	0	0	0	0	0	0	0	0
41	P55196_5__MLLT4	0	0	0	1	0	0	0	0	0	0	1	0
42	O14972__DSCR3	0	0	0	0	0	0	0	0	0	0	0	0
43	A8MV58__DBN1	0	1	0	0	2	1	1	1	1	2	0	0
44	A8MW61__PLRG1	0	0	0	0	0	0	0	0	0	1	0	0
45	A8MWD9__SNRPG	0	0	0	1	0	0	0	0	0	0	0	0
46	A8MXP9__MATR3	4	4	6	3	7	5	8	12	6	7	5	8
47	Q14203__DCTN1_DKFZp686E0752	0	0	1	0	1	0	0	1	1	0	0	1
48	Q86U38__C14orf21	0	0	0	0	0	0	0	0	0	0	0	0
49	P34896__SHMT1	0	0	0	0	0	0	0	0	0	0	0	0
50	P55039__DRG2	0	1	0	1	0	1	1	0	0	0	0	1
51	A8TX70__COL6A5_COL6A6	0	0	0	0	0	0	1	1	0	0	0	0
52	E9PCT1__SRRM1	0	0	0	0	0	1	0	0	1	1	1	0
53	B0LM41__RBM14_RBM4_fusion	2	0	1	1	1	1	2	1	1	1	2	2
54	O60784_2__TOM1	0	0	0	0	0	0	0	0	1	1	1	0
55	B0QY89__EIF3EIP_EIF3L	5	1	1	3	3	3	1	4	2	2	4	2
56	Q01844_5__EWSR1	3	1	2	2	1	1	1	1	1	1	0	2
57	B0QYN7__UBE2I	1	0	0	0	1	1	0	0	0	1	0	0
58	B0QZ18__CPNE1	1	3	0	3	2	0	2	2	1	1	3	2
59	B0S7P1__BRD2_DKFZp313H139	0	0	0	0	0	0	0	0	0	1	0	0
60	P46379_3__BAG6_BAT3	1	1	0	0	0	0	0	0	0	0	0	0
61	B0V043__VARS	3	1	0	0	4	1	1	1	1	2	4	2
62	P36915__GNL1	0	0	0	0	0	0	0	0	1	0	1	0
63	B0YIW6__ARCN1	0	1	0	0	1	1	0	1	0	0	2	1
64	P33992__MCM5	0	0	1	0	2	0	0	1	0	0	0	3
65	Q86Y82__STX12	0	0	0	1	0	0	0	1	0	0	0	0
66	O75832__PSMD10	0	0	0	2	0	0	1	0	0	0	0	0
67	B1AK88__CAPZB	2	1	1	2	1	2	0	0	0	1	1	2
68	B1AKJ5__NRD1	1	0	0	0	1	0	1	2	1	0	0	0
69	Q9Y3B2__EXOSC1_RP11_452K12.9	0	1	0	1	0	0	0	0	0	0	0	0
70	Q13310_3__PABPC4	2	1	0	1	3	2	0	1	2	0	0	1
71	P22694_2__PRKACB_PRKACA_PRKACG_KIN27	1	0	0	0	0	1	0	0	0	1	0	0
72	Q5SRD1__TIMM23B_TIMM23	1	0	0	0	0	0	0	0	0	0	0	0
73	O75334__PPFIA2_PPFIA1_PPFIA3_PPFIA4	0	1	0	1	0	0	0	0	0	0	0	0
74	Q9NWV4__C1orf123	1	0	0	0	0	1	0	0	0	0	0	1
75	B1AVU8__PSAP	2	1	1	0	2	0	2	0	2	1	1	1
76	Q16881__TXNRD1_TXNRD2	0	0	0	0	0	0	0	1	0	0	0	0
77	REV__I1E4Y6__SPINK5_TRIM6_TRIM34_TRIM34	0	0	0	0	0	0	0	0	0	0	0	1
78	Q96DV4__MRPL38	1	1	0	1	0	1	0	1	1	0	0	1
79	P55209__NAP1L1	3	2	1	3	2	4	3	4	5	2	2	2
80	P37268__FDFT1	1	1	0	0	0	0	0	0	0	0	0	1
81	J3KPW7__HDAC2_HDAC1	1	0	1	1	1	1	1	1	0	1	2	0
82	B3KS98__EIF3S3_EIF3H	1	2	0	0	1	2	1	1	2	0	0	2
83	H0YHI0__CHURC1_FNTB_FNTB	0	0	0	0	0	0	0	1	0	0	0	0
84	B3KSH1__EIF3F	0	0	0	0	2	1	2	0	1	0	1	1
85	H0Y3X6__WHSC2	0	0	0	1	0	0	0	0	0	0	1	0
86	B3KTC7__MRE11A	1	2	2	1	1	1	2	0	0	0	0	3
87	P14678_3__SNRPN_SNRPB	2	1	2	1	2	2	2	1	3	1	3	2
88	B3KW14__PQLC1	0	0	0	1	0	0	0	0	0	0	0	0
89	B3KXW5__AP1G1	1	1	0	0	0	0	0	0	0	0	0	0
90	P54725__RAD23A	0	0	0	0	0	0	0	0	0	0	1	1
91	Q8WYA6__CTNNBL1	1	0	0	0	0	0	0	0	0	0	0	0
92	Q9H9T3__ELP3	0	0	0	0	1	0	0	1	0	1	0	1
93	O60749__SNX2	0	0	0	0	0	0	0	0	0	0	1	0
94	Q9P2J5__LARS	2	0	0	1	2	1	4	3	1	4	3	2
95	P46459__NSF	0	0	0	0	0	1	0	4	1	1	1	0
96	P35659__DEK	0	2	0	2	1	3	1	1	0	3	1	3
97	P48735__IDH2	2	1	0	2	1	2	2	1	1	1	0	0
98	B1AKR6__DYNLRB1_DYNLRB2	2	0	0	1	0	0	0	0	0	0	0	0
99	Q969G3__SMARCE1	1	0	1	0	0	1	2	1	0	0	0	0
100	P47755__CAPZA2	0	0	0	0	1	0	0	0	1	0	0	0
101	Q5T1Z8__PUM1	0	0	0	0	0	0	1	0	0	0	0	0
102	B4DGP8__CANX	3	3	1	3	4	3	1	2	1	4	4	3
103	P35222__CTNNB1	1	0	0	1	0	0	0	1	1	1	1	0
104	Q14232__EIF2B1	0	0	0	0	0	0	0	1	1	0	0	0
105	P48426__PIP4K2A	0	0	0	0	0	0	0	0	0	0	0	0
106	P30626__SRI	0	0	1	0	0	0	0	0	0	0	1	0
107	Q9UKA9_2__PTBP2	0	0	0	0	0	0	0	1	0	1	1	0
108	Q12765_2__SCRN1	1	0	0	0	0	0	1	0	1	0	0	0
109	P61086__UBE2K	1	0	1	1	1	0	0	0	0	1	0	0
110	P28331_2__NDUFS1	2	0	0	0	0	2	0	1	4	2	2	2
111	Q92990__GLMN	1	1	0	3	0	1	1	2	1	0	1	2
112	B4DJL6__C15orf44	1	1	0	0	1	0	0	1	0	1	1	0
113	P62318__SNRPD3	2	3	2	1	4	3	2	2	3	2	2	1
114	Q9UNH7__SNX6	0	0	0	0	1	0	1	0	0	1	1	2
115	O75390__CS	2	2	2	0	1	1	0	2	1	1	1	1
116	Q9NTJ5__SACM1L	1	0	0	1	0	1	0	0	0	0	1	1
117	Q5H8A4__PIGG	0	0	0	0	0	0	0	0	0	1	0	0
118	Q01780__EXOSC10	0	0	0	0	0	0	1	0	0	0	0	0
119	Q8WUX9__CHMP7	0	0	0	1	0	0	0	0	0	0	0	0
120	P36542__ATP5C1	0	0	2	2	1	0	2	0	1	1	0	0
121	B4DLN1__SLC25A10_MRPL12	1	2	0	3	5	5	0	1	2	3	0	2
122	Q02543__RPL18A	1	4	2	1	4	2	4	3	1	2	4	1
123	Q15907__RAB11B_RAB11A	1	1	1	1	1	2	2	0	0	0	1	1
124	Q96GC5__MRPL48	1	1	0	1	0	0	0	0	0	0	0	0
125	O43776__NARS	1	2	1	1	1	1	1	1	0	3	1	1
126	Q16181__9_7_2013	1	1	1	1	2	3	3	1	2	1	0	2
127	P11802__CDK4	1	0	0	0	0	0	0	0	0	1	0	0
128	B4DNJ6__STRAP	3	3	2	3	3	3	4	4	1	1	2	2
129	Q15185__PTGES3	4	2	1	2	2	2	3	5	4	3	1	1
130	P62633__CNBP	2	0	0	1	1	3	0	3	2	2	2	1
131	E7EQZ4__SMN1	0	0	0	0	0	0	1	0	0	0	0	1
132	O94842__TOX4	0	0	0	1	0	0	0	0	0	0	0	0
133	Q9BY44__EIF2A	1	3	0	2	1	0	1	2	1	1	1	2
134	P45954__ACADSB	0	0	1	0	1	0	0	0	0	0	1	0
135	Q9BW92__TARS2	0	0	0	0	1	0	0	0	0	0	0	1
136	Q96IU4__ABHD14B	1	1	0	1	1	1	1	1	0	0	1	1
137	Q13595__TRA2A	1	0	0	0	0	1	0	2	2	1	0	0
138	P52209__PGD	3	3	0	2	1	4	4	4	2	1	2	3
139	P22570_3__FDXR	1	0	0	0	0	0	1	1	0	1	0	0
140	G3V3D1__NPC2	1	1	0	1	1	0	1	1	0	1	0	0
141	Q86UY6__NAA40	0	0	0	0	0	0	0	0	1	0	0	1
142	B4DR52__HIST2H2BF_HIST1H2BK_H2BFS_HIST1H2BD_HIST1H2BC_HIST1H2BH_HIST1H2BN_HIST1H2BM_HIST1H2BL	12	6	5	10	10	8	12	7	9	13	9	10
143	P62191__PSMC1	3	1	0	2	0	0	1	2	2	2	2	2
144	B4DR87__PLOD1	0	1	0	0	0	0	1	2	0	0	0	0
145	Q49AR2__C5orf22	0	0	0	0	1	0	0	0	0	0	0	0
146	Q9P035__PTPLAD1	0	0	0	0	1	1	0	0	0	0	0	0
147	B4DRT2__MRPS27	0	0	1	1	0	1	0	0	1	1	0	1
148	Q96SB4_3__SRPK1	0	1	0	0	1	0	0	0	0	0	1	1
149	O60942__RNGTT	0	0	0	0	0	0	0	0	0	0	0	0
150	Q8NCA5__FAM98A	1	0	0	0	0	0	0	0	0	0	0	0
151	Q7Z3B4__NUP54	0	0	0	0	0	0	0	0	0	0	1	0
152	P20073__ANXA7	0	0	0	0	0	0	0	0	0	0	1	1
153	Q14103_2__HNRNPD	1	0	0	1	1	1	1	1	1	1	1	1
154	H0Y8P4__UTP15	0	0	0	0	0	0	0	0	1	0	0	0
155	Q13126_2__MTAP	1	0	0	0	1	1	0	1	0	0	1	0
156	O95433__AHSA1	0	0	0	2	1	0	0	0	0	0	1	1
157	O95861_2__BPNT1	1	0	0	0	0	0	1	0	0	1	0	1
158	O00154__ACOT7	0	0	0	0	3	1	2	3	2	1	0	1
159	P50995__ANXA11	1	1	0	0	1	0	0	0	0	2	1	1
160	O15371__EIF3D	1	1	0	0	1	0	1	3	2	1	2	1
161	P47897__QARS	2	1	1	5	2	2	0	1	2	1	3	2
162	P49903__SEPHS1	0	0	0	0	0	0	0	1	0	0	0	0
163	O14744__PRMT5	1	1	0	0	0	1	0	0	0	0	0	1
164	P25685__DNAJB1	0	1	0	1	0	1	1	0	0	0	0	0
165	B4DX68__PBK	0	1	0	0	1	0	0	0	0	0	1	0
166	B4DXE2__BAG2	0	1	0	2	0	1	1	0	1	0	0	1
167	B4DXJ1__SEC13	2	2	1	3	1	1	0	1	2	1	1	0
168	P07910_2__HNRNPC_HNRNPCL1	15	9	4	12	17	8	16	12	11	12	14	11
169	Q8NFH5__NUP35	0	0	0	0	0	1	1	0	0	0	0	1
170	F6S8M0__GNS	0	0	0	1	0	0	1	0	0	0	0	0
171	Q9H0D6__XRN2	1	0	0	0	0	1	0	0	0	0	0	0
172	P35606__COPB2	0	0	1	1	0	1	0	2	0	1	4	1
173	O43237__DYNC1LI2	0	0	0	0	0	0	0	0	0	0	0	0
174	Q96DB5__FAM82B	0	0	0	0	0	0	1	0	0	0	0	0
175	Q96AT9__RPE	0	1	0	0	0	0	0	0	0	1	0	0
176	P29401_2__TKT	4	8	6	6	7	5	6	3	4	5	6	5
177	B4E0Y9__MST4_STK25	0	0	0	2	0	0	1	1	1	0	1	2
178	Q9BUN8__DERL1	0	0	0	0	0	0	0	0	1	0	0	0
179	B4E1G6__GALK1	0	1	0	0	0	0	1	0	2	1	0	1
180	Q6NXE6__ARMC6	0	0	0	0	1	1	0	2	0	1	0	0
181	P84103__SRSF3	2	3	1	4	2	2	0	1	1	3	2	2
182	B4E2P2__SSR3	0	1	0	0	0	0	0	0	0	0	0	0
183	P13473_3__LAMP2	0	1	1	0	1	1	0	1	1	1	0	1
184	P55084__HADHB	0	2	0	1	0	0	0	1	0	0	0	1
185	D6W5Y5__CIRBP	0	1	1	0	1	0	0	0	0	0	0	0
186	O60256__PRPSAP2	1	1	0	0	0	2	1	1	1	1	1	1
187	Q9Y285__FARSA	1	1	1	2	3	3	0	3	1	1	2	0
188	B5MBZ0__EML4	0	0	0	0	0	0	1	0	0	0	1	1
189	Q15435__PPP1R7	0	1	0	1	0	0	0	0	0	0	0	0
190	Q15084_2__PDIA6	7	7	3	6	7	4	8	6	6	3	9	3
191	P49593__PPM1F	0	0	0	1	0	0	0	1	0	1	0	1
192	B5MDF5__RAN	6	8	2	7	4	6	4	5	5	6	5	7
193	Q92600__RQCD1	0	0	0	0	0	0	0	0	0	0	0	0
194	B7TY16__ACTN1	1	0	0	2	2	1	2	2	0	2	2	2
195	Q7Z4Q2__HEATR3	0	0	0	0	0	0	0	0	1	1	0	0
196	Q9UPU5__USP24	0	0	0	0	0	0	0	0	0	0	0	0
197	Q9Y450__HBS1L	1	0	1	0	0	1	1	2	0	1	0	1
198	P38606__ATP6V1A	4	2	1	1	1	2	1	2	1	2	0	2
199	P09104__ENO2	0	0	0	0	1	0	0	0	1	0	0	1
200	Q14964__RAB39A_RAB6A_RAB6B	0	0	1	0	0	0	1	0	1	0	0	2
201	Q8N5N7__MRPL50	0	0	0	1	0	0	0	1	0	0	0	0
202	P46926__GNPDA1_GNPDA2	0	0	0	0	0	0	0	0	0	0	0	1
203	Q9BUJ2__HNRNPUL1	0	0	0	4	1	4	2	1	2	4	2	3
204	B7Z4Q3__LUC7L2	1	1	1	1	2	1	5	1	1	2	3	1
205	O15260__SURF4	0	0	0	0	0	0	0	0	0	0	1	0
206	Q9Y5Y2__NUBP2	0	1	0	0	0	0	1	1	0	0	0	0
207	Q9H6Z4__RANBP3	0	0	0	0	1	1	1	0	1	0	1	0
208	B7Z7Q0__PITPNB	0	0	1	0	0	1	0	0	1	0	1	0
209	P42785_2__PRCP	1	1	0	0	0	0	0	1	1	0	0	1
210	B7Z888__SCAF8	1	1	0	1	1	1	2	0	0	0	0	1
211	P62820__RAB1A_RAB1B_RAB1C	1	0	1	1	1	1	1	1	1	0	0	2
212	H7BY58__PCMT1	1	0	1	1	1	1	2	1	2	2	1	1
213	Q5VW32__BROX_C1orf58	0	1	0	0	0	0	0	0	1	0	1	0
214	Q5T4U5__ACADM	3	1	0	1	0	1	0	2	0	1	1	1
215	P50213__IDH3A	1	1	0	0	1	2	1	0	0	1	2	0
216	F8W8S0__DYNC1I2	0	0	0	0	0	0	0	0	0	0	0	0
217	Q9UBQ5__EIF3K	1	0	0	0	0	0	0	1	0	0	0	0
218	P35658_5__NUP214	1	0	0	2	2	2	1	1	0	0	1	1
219	Q7Z3K3__POGZ	0	0	0	0	0	0	0	0	0	0	0	0
220	Q9NR46_2__SH3GLB2	1	1	0	1	1	0	1	0	1	1	0	0
221	Q15020__SART3	0	1	0	0	0	1	3	0	1	1	0	1
222	B7ZKM8__SEC24B	0	0	0	1	0	1	0	0	0	1	1	0
223	B7ZKS7__USP48	0	1	0	0	0	0	0	0	0	0	0	0
224	Q7Z460__CLASP1_CLASP2	2	0	0	1	0	0	0	0	0	1	0	1
225	B8ZZ87__MZT2B_MZT2A	0	0	0	0	0	0	0	0	0	0	0	0
226	Q53GS9__USP39	1	1	0	0	0	0	0	2	1	0	0	1
227	Q9Y4Y9__LSM5	1	0	1	1	2	1	2	0	1	1	1	0
228	O75223__GGCT	0	1	0	1	1	0	0	0	0	0	0	0
229	Q99627__COPS8	1	0	0	1	1	1	0	0	3	1	2	0
230	P06454__PTMA	10	7	5	8	9	11	7	5	9	8	9	9
231	Q9UK76_2__HN1	2	2	1	1	1	2	0	0	1	0	2	1
232	Q15370_2__TCEB2	0	0	0	0	1	1	1	0	0	0	0	0
233	Q6NVY1__HIBCH	0	0	0	0	0	1	0	0	0	1	0	0
234	Q16891__IMMT	2	2	0	1	1	1	0	0	1	1	0	0
235	P62829__RPL23	1	2	1	0	2	3	2	0	0	1	2	2
236	E7EVA0__MAP4	0	0	0	0	1	0	1	0	1	2	2	0
237	H9KV28__DIAPH1	0	0	0	0	0	0	1	0	0	0	0	0
238	O60832__DKC1	0	0	0	1	1	1	0	2	1	2	1	0
239	Q96RP9_2__GFM1	0	0	0	1	0	0	1	0	0	0	0	0
240	Q15942__ZYX	0	0	0	1	0	0	1	0	0	0	0	0
241	Q7L1Q6_3__BZW1	0	0	0	0	0	0	0	0	0	0	1	0
242	Q15061__WDR43	0	0	0	0	0	1	0	1	0	1	0	0
243	C9IZQ1__SSR1	0	0	0	0	0	0	0	1	0	1	0	0
244	G5E9Q6__PFN2	0	0	0	1	0	0	0	0	1	0	0	1
245	P51572_2__BCAP31	0	1	0	1	0	0	0	0	0	0	0	0
246	O43324__EEF1E1	0	0	0	0	0	0	1	0	0	1	0	0
247	C9J281__PLA2G4F	0	0	0	0	0	0	0	0	0	1	0	0
248	P51965__UBE2E1	0	1	0	1	1	0	1	1	1	1	0	0
249	P30876__POLR2B	0	0	0	0	0	1	0	0	1	1	0	1
250	C9J4G0__C17orf49_BAP18	0	1	0	0	1	0	0	0	1	1	0	0
251	P51692__STAT5B	1	0	0	0	0	0	0	0	0	0	0	0
252	P61513__RPL37A	1	1	2	1	1	1	0	1	1	2	0	2
253	P55327_3__PrLZ_TPD52	0	1	0	0	2	1	0	0	1	1	1	0
254	F8WA42__SUMF2	0	0	0	0	0	1	0	0	0	0	0	0
255	C9J6P4__ZC3HAV1	0	0	0	0	0	0	0	0	0	0	0	0
256	Q8WXC9__NDUFA10	0	0	0	0	0	0	1	0	1	0	0	0
257	C9J7E5__TNPO3	1	1	0	1	1	1	1	0	1	1	1	1
258	F8VZ95__C21orf59	0	0	0	0	0	0	0	0	0	0	0	0
259	Q13724__MOGS	0	1	0	1	0	0	0	0	1	0	0	0
260	P36543__ATP6V1E1	1	0	0	0	0	0	0	0	0	1	0	1
261	P51649_2__ALDH5A1	1	1	0	0	0	0	1	1	0	0	1	1
262	C9J8T6__COX17	1	0	1	1	0	1	1	0	0	1	1	1
263	P08865__RPSA_RPSAP58	2	3	2	3	3	2	5	6	5	3	4	1
264	Q03701__CEBPZ	1	0	0	0	0	0	0	1	0	1	0	0
265	C9JA08__NMD3	0	0	0	0	1	0	0	0	0	0	0	0
266	Q8TC07_3__TBC1D15	0	0	0	0	0	1	0	1	0	0	1	0
267	Q16629__SRSF7	3	1	0	2	0	1	2	4	1	1	3	1
268	Q9C0D9__EPT1	0	0	0	0	0	1	0	0	0	0	0	0
269	O15042__U2SURP	0	0	0	0	0	1	0	0	0	0	0	0
270	C9JCC6__DRAP1	1	1	0	1	2	0	2	1	0	1	1	0
271	Q13907_2__IDI1	0	1	0	0	0	1	0	0	1	0	0	1
272	P09110__ACAA1	1	0	0	0	0	0	0	0	1	0	0	0
273	Q15738__NSDHL	0	0	0	0	0	0	0	1	0	0	0	0
274	C9JEH3__AAMP	0	0	0	0	0	0	0	1	0	0	0	0
275	Q9UJ70_2__NAGK	1	1	0	0	0	0	0	0	0	0	0	0
276	Q8IX18__DHX40	1	0	0	0	1	0	1	0	0	1	0	0
277	Q13098_6__GPS1	0	0	0	0	1	0	0	0	0	0	0	0
278	P99999__CYCS	3	0	0	1	1	1	1	4	2	0	1	1
279	Q8IZL8_2__PELP1	0	1	2	0	2	1	1	1	2	3	2	1
280	C9JIF9__APEH	0	1	0	0	0	1	2	0	0	1	0	1
281	O95777__NAA38	0	0	0	1	0	0	0	1	1	0	0	0
282	C9JJ19__MRPS34	1	1	1	1	1	2	1	1	1	2	1	1
283	O95630__STAMBP	0	0	0	0	0	0	0	0	1	0	0	0
284	I3L4Q0__FAM195B	0	0	0	0	0	1	0	0	0	0	0	0
285	O95104__SCAF4	0	1	0	0	0	1	0	0	0	1	0	0
286	P83731__RPL24	1	3	0	1	0	1	2	1	0	2	2	1
287	F8WAR4__CHCHD3	0	0	1	0	0	1	0	0	0	0	1	0
288	C9JSL2__PITRM1	1	1	0	0	0	0	0	0	0	1	0	1
289	E9PAL9__NT5DC2	1	2	0	1	1	0	0	0	1	0	0	0
290	P35249__RFC4	0	0	0	1	2	2	2	0	0	1	2	1
291	O60716__CTNND1	0	2	0	1	1	1	1	0	1	1	2	1
292	P09543__CNP	1	0	0	0	0	0	1	0	1	1	0	0
293	CON__ENSEMBL:ENSBTAP00000016242__TUBA1B_TUBA4A	24	28	19	28	26	27	26	22	18	16	21	19
294	CON__P00761__	3	4	3	3	3	3	3	2	2	4	3	3
295	CON__P01966__	0	0	0	0	0	2	0	0	1	0	1	1
296	CON__P02768_1__ALB	0	3	2	0	0	0	0	0	0	0	0	0
297	CON__P02769__	0	0	0	0	1	0	0	2	9	9	0	0
298	CON__P04264__KRT1	3	1	0	0	1	1	1	0	0	1	2	1
299	CON__P60712__ACTB	0	0	0	1	1	1	1	1	1	0	1	2
300	CON__P81644__	0	0	0	1	0	0	0	0	0	0	1	0
301	CON__Q3SX09__	2	2	2	3	3	2	2	4	4	3	3	4
302	CON__Q3ZAW8__	0	0	0	0	0	0	0	0	0	0	0	0
303	CON__Q3ZBS7__	1	1	0	0	0	0	1	1	0	2	0	1
304	E9PFM1__EIF4G1	1	4	1	0	2	2	2	2	2	3	1	3
305	D3DQV9__EIF4G2	0	1	0	0	1	2	1	2	1	2	0	0
306	F8W727__RPL32	0	1	0	2	1	0	0	1	0	0	0	1
307	Q06265_2__EXOSC9	0	1	0	1	0	0	0	0	0	0	0	1
308	E9PF82__CAMK2D	0	1	0	0	0	0	0	0	0	0	0	0
309	Q9BUT1__BDH2	0	0	1	0	0	0	0	1	0	0	0	0
310	Q9UHY7__ENOPH1	0	0	1	0	0	0	1	0	1	0	1	0
311	P57088__TMEM33	0	1	0	1	0	0	0	0	0	0	0	0
312	Q53GG5__PDLIM3	1	0	0	0	0	0	0	0	0	0	1	0
313	P61077_3__UBE2D3_UBE2D2	0	0	0	0	0	0	0	0	0	1	0	0
314	Q13423__NNT	1	2	0	0	1	1	1	1	1	1	0	0
315	P02545__LMNA	3	2	0	2	2	2	3	1	1	2	2	1
316	D6RFN0__COPS4	2	1	1	1	1	0	0	0	2	0	1	0
317	D6RB78__PDLIM5	1	0	1	2	0	0	0	0	1	0	1	1
318	D6RB93__ZNF451	0	0	0	0	1	1	0	1	1	0	1	0
319	Q9NX24__NHP2	1	0	0	0	1	0	0	1	0	0	1	1
320	D6RCF4__CISD2	0	0	0	0	0	1	0	0	0	0	0	0
321	Q9UNQ2__DIMT1	0	0	0	0	0	1	0	0	0	0	0	0
322	Q6PGP7__TTC37	0	0	0	0	0	0	0	0	0	1	0	0
323	Q96CN7__ISOC1	0	0	1	1	0	0	0	0	0	1	1	1
324	D6REC4__	1	0	0	0	1	0	1	0	0	0	0	0
325	O75116__ROCK2	0	0	0	0	0	1	0	0	0	0	0	0
326	P48729__CSNK1A1_CSNK1A1L	0	0	0	0	0	0	0	0	0	0	1	0
327	P12081__HARS	1	1	1	2	0	1	1	1	0	0	0	0
328	Q9NVA2_2__9_11_2013	0	0	0	0	1	0	0	0	0	0	0	0
329	E9PF86__PGM3	0	0	0	0	1	0	0	0	0	0	0	0
330	J3KNF8__CYB5B	0	0	0	0	1	0	1	1	1	1	2	1
331	P31040__SDHA	2	2	3	3	1	1	2	2	2	5	2	2
332	H0UI06__COX7A2	0	0	0	0	0	0	0	0	0	0	0	0
333	D6RH22__OSTC	0	1	0	0	0	1	1	1	0	0	0	0
334	Q14498__RBM39	3	1	1	2	2	1	2	2	1	2	2	3
335	Q32P28_3__LEPRE1	0	0	0	0	0	0	1	0	0	0	0	0
336	Q9H2U2_2__PPA2	1	0	0	0	1	0	1	2	0	1	0	0
337	Q8TDG4__HELQ	0	0	0	0	0	0	0	0	0	0	0	0
338	E5KLJ5__OPA1	0	0	0	0	1	0	0	1	0	0	1	0
339	Q8WVJ2__NUDCD2	0	0	0	0	0	1	0	0	0	0	0	0
340	O94903__PROSC	0	0	0	1	0	0	0	0	0	0	0	0
341	Q9UI12__ATP6V1H	0	0	0	0	0	0	0	0	1	0	0	0
342	Q12797__ASPH	0	1	0	1	1	0	1	0	1	0	0	0
343	O75608__LYPLA1	1	0	0	1	1	1	2	0	1	0	1	1
344	Q93045_2__STMN2	0	0	0	1	0	1	1	0	1	0	0	1
345	Q9P015__MRPL15	0	0	0	0	0	0	0	0	0	0	1	0
346	Q15369__TCEB1	0	0	0	1	1	1	1	1	0	2	0	1
